Game|Date/Season|Winning team|Score|Losing team|Venue|City|Attendance|Referee
XLVII|February 3, 2013 |Baltimore Ravens|34–31|San Francisco 49ers|Mercedes-Benz Superdome|New Orleans, Louisiana|71,024|Jerome Boger
XLVIII|February 2, 2014 |Seattle Seahawks|43–8|Denver Broncos|MetLife Stadium|East Rutherford, New Jersey|82,529|Terry McAulay
XLIX|February 1, 2015 |New England Patriots|28–24|Seattle Seahawks|University of Phoenix Stadium|Glendale, Arizona|70,288|Bill Vinovich
50|February 7, 2016 |Denver Broncos|24–10|Carolina Panthers|Levi's Stadium|Santa Clara, California|71,088|Clete Blakeman
LI|February 5, 2017 |New England Patriots|34–28 |Atlanta Falcons|NRG Stadium|Houston, Texas|70,807|Carl Cheffers
LII|February 4, 2018 |Philadelphia Eagles|41–33|New England Patriots|U.S. Bank Stadium|Minneapolis, Minnesota|67,612|Gene Steratore
LIII|February 3, 2019 |New England Patriots|13–3|Los Angeles Rams|Mercedes-Benz Stadium|Atlanta, Georgia|70,081|John Parry
LIV|February 2, 2020 |Kansas City Chiefs|31–20|San Francisco 49ers|Hard Rock Stadium|Miami Gardens, Florida|62,417|Bill Vinovich
LV|February 7, 2021 |Tampa Bay Buccaneers|31–9|Kansas City Chiefs|Raymond James Stadium|Tampa, Florida|24,835|Carl Cheffers
LVI|February 13, 2022 |2021–22 NFC champion|—|—|SoFi Stadium|Inglewood, California|TBD|TBD
LVII|February 5, 2023 |2022–23 AFC champion|—|—|State Farm Stadium|Glendale, Arizona|TBD|TBD
LVIII|February 11, 2024 |2023–24 NFC champion|—|—|—|—|TBD|TBD
LIX|February 9, 2025 |2024–25 AFC champion|—|—|Caesars Superdome|New Orleans, Louisiana|TBD|TBD
